Material,Temperature_K,CohesiveEnergy_eV,N_atoms
Al,100,-3.306049,256
Al,300,-3.277974,256
Al,500,-3.249522,256
Al,700,-3.209695,256
Al,900,-3.179877,256
SiC,100,-6.151151,512
SiC,300,-6.127617,512
SiC,500,-6.106103,512
SiC,700,-6.073187,512
SiC,900,-6.051462,512
Ti,100,-4.856745,256
Ti,300,-4.831433,256
Ti,500,-4.803564,256
Ti,700,-4.774527,256
Ti,900,-4.733507,256
TiB2,100,-5.616448,192
TiB2,300,-5.619802,192
TiB2,500,-5.595549,192
TiB2,700,-5.586063,192
TiB2,900,-5.567421,192
Ti-TiB2,100,-5.881980,27384
Ti-TiB2,300,-5.855762,27384
Ti-TiB2,500,-5.829905,27384
Ti-TiB2,700,-5.801661,27384
Ti-TiB2,900,-5.772807,27384
