elapsed_sec,gpu_util_pct,mem_used_mb,mem_total_mb,temp_c,power_w
0.08,0,472,49140,29,"26.11
0"
0.34,2,502,49140,29,"36.51
0"
0.59,7,504,49140,29,"43.96
0"
0.84,0,504,49140,29,"54.12
0"
1.09,0,504,49140,29,"60.87
0"
1.34,0,504,49140,29,"61.62
0"
1.62,17,576,49140,30,"70.00
0"
1.87,19,576,49140,29,"69.94
0"
2.15,15,576,49140,31,"73.21
0"
2.40,19,1192,49140,30,"78.25
0"
2.67,17,1194,49140,30,"78.18
0"
2.93,0,1194,49140,30,"77.39
0"
3.21,23,1194,49140,30,"79.05
0"
3.46,0,1194,49140,30,"74.04
0"
3.74,10,1498,49140,30,"71.38
0"
3.99,2,1500,49140,30,"67.58
0"
4.24,11,1508,49140,30,"64.53
0"
4.48,0,2090,49140,30,"65.68
0"
4.70,21,2092,49140,31,"68.36
0"
4.95,21,2092,49140,30,"71.17
0"
5.28,16,2092,49140,30,"71.38
0"
5.55,21,2092,49140,30,"73.92
0"
5.80,20,2092,49140,30,"73.85
0"
6.02,21,2092,49140,31,"73.71
0"
6.27,20,2092,49140,31,"73.79
0"
6.54,20,2092,49140,31,"75.43
0"
6.81,19,2092,49140,31,"75.61
0"
7.03,21,2092,49140,31,"75.57
0"
7.26,19,2092,49140,31,"75.65
0"
7.48,20,2092,49140,31,"75.71
0"
7.70,20,2092,49140,31,"75.57
0"
7.98,19,2092,49140,31,"75.48
0"
8.24,22,2092,49140,31,"76.02
0"
8.49,18,2092,49140,31,"76.02
0"
8.76,20,2092,49140,31,"76.01
0"
9.03,21,2092,49140,31,"75.98
0"
9.26,19,2092,49140,31,"75.78
0"
9.48,20,2092,49140,31,"76.03
0"
9.71,20,2092,49140,31,"76.04
0"
9.93,19,2092,49140,31,"76.19
0"
10.20,19,2096,49140,31,"76.06
0"
10.47,21,2096,49140,31,"75.96
0"
10.74,21,2096,49140,31,"76.14
0"
11.01,19,2096,49140,31,"75.83
0"
11.29,21,2096,49140,31,"75.94
0"
11.56,21,2676,49140,31,"76.00
0"
11.78,20,2676,49140,31,"75.99
0"
12.05,20,2676,49140,31,"75.55
0"
12.32,20,2676,49140,31,"75.94
0"
12.59,20,2676,49140,31,"75.96
0"
12.84,21,2676,49140,31,"75.78
0"
13.11,20,2676,49140,31,"76.05
0"
13.39,21,2676,49140,31,"75.81
0"
13.66,19,2676,49140,31,"75.93
0"
13.90,21,2676,49140,31,"75.62
0"
14.18,21,2676,49140,31,"75.53
0"
14.45,19,2676,49140,31,"75.74
0"
14.72,19,2676,49140,31,"75.35
0"
14.99,22,2676,49140,31,"75.48
0"
15.24,19,2676,49140,31,"75.53
0"
15.49,21,2676,49140,31,"75.73
0"
15.72,21,2676,49140,31,"75.71
0"
15.94,20,2676,49140,31,"75.85
0"
16.16,19,2676,49140,31,"75.65
0"
16.41,21,2676,49140,31,"75.47
0"
16.66,19,2676,49140,31,"75.48
0"
16.88,21,2676,49140,31,"75.52
0"
17.11,21,2676,49140,31,"75.80
0"
17.38,20,2676,49140,31,"76.14
0"
17.62,21,2676,49140,31,"75.84
0"
17.89,19,2676,49140,31,"76.35
0"
18.16,20,2676,49140,31,"76.34
0"
18.41,20,2676,49140,32,"76.31
0"
18.65,20,2676,49140,31,"76.22
0"
